Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10026,10/9/2023,-0.088745257,-0.065947062,-0.063137737,21,100
Market-Adjusted Model,10028,10/9/2023,-0.20159684,-0.195866664,-0.175989319,21,100
Market-Adjusted Model,10032,10/9/2023,-0.010968375,0.015667767,0.014639146,21,100
Market-Adjusted Model,10044,10/9/2023,-0.147368381,-0.129721157,-0.12176086,21,100
Market-Adjusted Model,10065,10/9/2023,-0.031952604,-0.006610048,-0.006345084,21,100
Market-Adjusted Model,10066,10/9/2023,-0.035058363,-0.002605848,-0.009450843,21,100
Market-Adjusted Model,10104,10/9/2023,-0.045783839,-0.018182574,-0.020176318,21,100
Market-Adjusted Model,10107,10/9/2023,0.038831573,0.064893646,0.064439093,21,100
Market-Adjusted Model,10113,10/9/2023,-0.037319475,-0.01086874,-0.011711954,21,100
Market-Adjusted Model,10138,10/9/2023,-0.094556153,-0.071646434,-0.068948633,21,100
Market-Adjusted Model,10145,10/9/2023,-0.04879331,-0.023410871,-0.02318579,21,100
Market-Adjusted Model,10158,10/9/2023,-0.320314363,-0.340046326,-0.294706842,21,100
Market-Adjusted Model,10200,10/9/2023,-0.104515718,-0.081767797,-0.078908198,21,100
Market-Adjusted Model,10207,10/9/2023,-0.054593917,-0.02989429,-0.028986396,21,100
Market-Adjusted Model,10220,10/9/2023,0.012555694,0.039891874,0.038163215,21,100
Market-Adjusted Model,10252,10/9/2023,-0.026986391,0.001521924,-0.001378871,21,100
Market-Adjusted Model,10253,10/9/2023,-0.200597293,-0.185663499,-0.174989772,21,100
Market-Adjusted Model,10257,10/9/2023,0.095079265,0.127731241,0.120686785,21,100
Market-Adjusted Model,10258,10/9/2023,-0.044400822,-0.01106331,-0.018793302,21,100
Market-Adjusted Model,10294,10/9/2023,-0.071182367,-0.043898791,-0.045574846,21,100
Market-Adjusted Model,10308,10/9/2023,0.028311777,0.056283797,0.053919298,21,100
Market-Adjusted Model,10318,10/9/2023,-0.041669964,-0.015575621,-0.016062444,21,100
Market-Adjusted Model,10333,10/9/2023,0.106641128,0.140836491,0.132248648,21,100
Market-Adjusted Model,10355,10/9/2023,0.021705713,0.047472717,0.047313233,21,100
Market-Adjusted Model,10382,10/9/2023,-0.128855056,-0.108803343,-0.103247535,21,100
Market-Adjusted Model,10397,10/9/2023,-0.056554723,-0.02953158,-0.030947202,21,100
Market-Adjusted Model,10421,10/9/2023,-0.107321728,-0.083939491,-0.081714208,21,100
Market-Adjusted Model,10443,10/9/2023,-0.030472389,-0.004522995,-0.004864869,21,100
Market-Adjusted Model,10463,10/9/2023,-0.086206922,-0.049440644,-0.060599402,21,100
Market-Adjusted Model,10501,10/9/2023,-0.083756008,-0.055945551,-0.058148487,21,100
Market-Adjusted Model,10516,10/9/2023,-0.059495994,-0.03518842,-0.033888473,21,100
Market-Adjusted Model,10517,10/9/2023,-0.065069609,-0.036836527,-0.039462089,21,100
Market-Adjusted Model,10547,10/9/2023,-0.162092307,-0.144056172,-0.136484787,21,100
